Keuwl Accelerometer Data File
2021-04-23 02-18-31

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.3879513,-0.001220,0.066386,1.042889,1.045000,3.642875,91.053116
0.3899510,-0.001464,0.065897,1.044353,1.046431,3.611349,91.273033
0.3919508,-0.000732,0.064677,1.045817,1.047815,3.539114,90.648605
0.3939506,-0.001464,0.062481,1.051919,1.053774,3.400185,91.342621
0.3959503,-0.001464,0.062481,1.051919,1.053774,3.400185,91.342621
0.3979501,-0.003417,0.062236,1.051919,1.053764,3.391017,93.142494
0.3999498,-0.005613,0.061748,1.050943,1.052770,3.376436,95.194427
0.4019495,-0.007566,0.061260,1.050943,1.052754,3.361326,97.040718
0.4039493,-0.010983,0.060772,1.050454,1.052268,3.364528,100.244087
0.4059490,-0.012447,0.058820,1.048502,1.050224,3.281814,101.948555
0.4079488,-0.015376,0.058576,1.045085,1.046838,3.316351,104.708305
0.4099485,-0.014644,0.058087,1.041180,1.042902,3.292891,104.149475
0.4119482,-0.015132,0.058820,1.040448,1.042219,3.340703,104.427147
0.4139480,-0.015132,0.059308,1.038495,1.040298,3.373072,104.313301
0.4159477,-0.015376,0.060040,1.034102,1.035958,3.429825,104.364586
0.4179474,-0.016108,0.061016,1.032150,1.034077,3.498719,104.788681
0.4199472,-0.014888,0.061748,1.028245,1.030205,3.534796,103.555672
0.4219469,-0.012935,0.061992,1.023851,1.025808,3.539335,101.786308
0.4239467,-0.011471,0.062481,1.021655,1.023628,3.557984,100.403290
0.4259464,-0.010495,0.064677,1.019214,1.021318,3.678392,99.216721
0.4279462,-0.010007,0.065653,1.017506,1.019671,3.734391,98.666115
0.4299459,-0.004637,0.065653,1.014333,1.016466,3.712462,94.040207
0.4319457,-0.000488,0.068094,1.011160,1.013450,3.852749,90.410713
0.4339454,0.001220,0.068826,1.009208,1.011553,3.902091,88.984222
0.4359451,0.003661,0.070047,1.005791,1.008233,3.989242,87.008171
0.4379449,0.004881,0.071755,1.007255,1.009820,4.084181,86.108322
0.4399447,0.004637,0.072731,1.007987,1.010618,4.135359,86.351852
0.4419444,0.006102,0.073463,1.007499,1.010192,4.184790,85.252113
0.4439441,0.008542,0.073708,1.007011,1.009741,4.214170,83.389252
0.4459439,0.011471,0.074440,1.008231,1.011041,4.272189,81.239723
0.4479436,0.014400,0.074684,1.007011,1.009879,4.319332,79.086693
0.4499433,0.014400,0.074440,1.006279,1.009131,4.308890,79.051781
0.4519431,0.013424,0.075172,1.004814,1.007712,4.345867,79.875328
0.4539428,0.014156,0.075172,1.003106,1.006018,4.360714,79.335426
0.4559426,0.013668,0.075904,1.001397,1.004363,4.404066,79.792458
0.4579423,0.012203,0.076392,0.998713,1.001704,4.429299,80.924004
0.4599420,0.010983,0.076392,0.997248,1.000230,4.425318,81.818649
0.4619418,0.010251,0.077613,0.993099,0.996180,4.507326,82.476181
0.4639415,0.008298,0.077857,0.986021,0.989125,4.540190,83.916206
0.4659412,0.007566,0.078101,0.983825,0.986949,4.560078,84.466736
0.4679410,0.003905,0.078101,0.976503,0.979629,4.578469,87.137596
0.4699408,-0.000244,0.076148,0.971866,0.974844,4.480171,90.183640
